"4042, Banaan, kg","8131, Banaan Mahe, kg","3594840, Jahubanaan, kg","Banaan  Chiquita, Panama","Banaan, kg","270939, Banaan kg","961131, Banaan mahe, kg","8131, Mahe Banaan, kg"
1.09,2.99,2.79,0.39,0.99,1.09,2.39,2.99
1.09,2.99,2.79,0.39,0.99,1.09,2.39,2.99
1.09,2.99,2.79,0.69,0.99,1.09,2.39,2.99
1.09,2.99,2.79,0.95,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.95,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.95,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.95,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.39,2.99
1.09,2.99,2.79,0.98,0.99,1.19,2.19,2.99
1.19,2.99,2.79,0.98,0.99,1.19,2.19,2.99
1.29,2.99,2.99,0.98,0.99,1.19,2.19,2.99
1.29,2.99,2.99,0.98,0.99,1.19,2.19,2.99
1.29,2.99,2.99,0.98,0.99,1.19,2.19,2.99
1.29,2.99,2.99,0.98,0.99,1.19,2.19,2.99
1.29,2.99,2.99,0.98,0.99,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.19,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.15,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.15,2.19,2.99
1.29,2.99,2.99,0.98,1.15,1.15,2.19,2.99
