"4054, Kobartomat, kg","4138, Tomat lahtine, kg","Kobartomat, I klass, Türgi","Tomat, II klass, Maroko","Tomat lahtine 1 kl., kg","Ploomtomat 1.kl,kg","266894, Tomat 1kl, kg","295995, Tomat Kumato/Chocmande 47-57-67 MM, kg","268815, Ploomtomat 1kl, kg","Tomat KUMATO 1kl., kg","Vaarikatomat 1kl.,kg","Tomat, II klass, Türgi","268771, Kobartomat 1kl, kg","295994, Ploomtomat oranz, kg","904160, Tomat Vaarika/kollane, VÕISTE AIAND, kg"
4.99,1.99,3.29,0.49,1.99,2.79,1.99,3.59,3.29,3.49,2.19,0.49,4.99,3.99,9.99
4.39,1.99,3.29,0.49,1.99,2.79,1.99,3.59,3.29,3.49,2.19,0.49,4.99,3.99,9.99
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99
4.39,2.79,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,3.29,0.49,4.99,3.99,9.99
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99
4.39,2.99,3.29,1.99,1.99,0.99,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99
4.39,2.99,3.29,1.99,1.99,0.99,1.99,3.49,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,2.99,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,2.99,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,2.99,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,3.49,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,3.49,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,3.49,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,1.99,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,1.99,3.29,1.99,1.99,2.89,1.99,2.99,3.49,2.99,3.29,1.99,4.99,3.99,9.99
4.39,1.99,3.29,1.99,1.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.39,3.49,3.29,1.99,1.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,1.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,1.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.69,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.69,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.69,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.69,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.69,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.69,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.99,2.89,1.99,2.99,3.79,2.99,3.29,1.99,4.99,3.99,9.99
4.99,3.79,3.29,1.99,2.99,2.89,1.99,2.99,3.29,2.99,3.29,1.99,4.99,3.99,9.99
3.29,2.29,3.29,1.99,2.99,2.89,1.99,2.99,3.29,2.99,3.29,1.99,4.99,3.99,9.99
3.29,2.29,3.29,1.99,2.69,2.89,1.99,2.99,3.29,2.99,3.29,1.99,4.99,3.99,9.99
3.29,2.29,3.29,1.99,2.69,2.89,1.99,2.99,3.29,2.99,3.29,1.99,4.99,3.99,9.99
