"4054, Kobartomat, kg","4138, Tomat lahtine, kg","Kobartomat, I klass, Türgi","Tomat, II klass, Maroko","Tomat lahtine 1 kl., kg","Ploomtomat 1.kl,kg","266894, Tomat 1kl, kg","295995, Tomat Kumato/Chocmande 47-57-67 MM, kg","268815, Ploomtomat 1kl, kg","Tomat KUMATO 1kl., kg","Vaarikatomat 1kl.,kg","Tomat, II klass, Türgi","268771, Kobartomat 1kl, kg","295994, Ploomtomat oranz, kg","904160, Tomat Vaarika/kollane, VÕISTE AIAND, kg","4103, Tomat, INTSU, kg","9561, Tomat Monte Rosa, kg","596854, Tomat 25cm amplis, NURMIKO, 1 tk","4103, Tomat lahtine, INTSU, kg",Tomat San Marzano,"913029, Ploomtomat mini oranz 1kl, kg","913002, Kirsstomat kollane 1kl, kg","911273, Lihatomat Intsu talu 1kl, kg",Kirss-kobartomat I klass,Tomat kollane,"940493, Vaarikatomat Võiste Aiand 1kl, kg","Kobartomat 1.kl.,kg","Tomat kollane 1 kl. , kg","Juust Päikesekuiv.tomat & küüslaugu,KG",Tomat Black Cherry,Tomat Faworyt,Tomat Noire de Сrimee,"943320, Tomat kollane Võiste Aiand 1kl, kg","Kobartomat oranž 2.kl.,kg","980110, Tomat, kg"
4.99,1.99,3.29,0.49,1.99,2.79,1.99,3.59,3.29,3.49,2.19,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,1.99,3.29,0.49,1.99,2.79,1.99,3.59,3.29,3.49,2.19,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,1.99,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,2.19,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,2.79,3.29,0.49,1.99,2.99,1.99,3.59,3.29,2.99,3.29,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
4.39,2.79,3.29,1.99,1.99,2.89,1.99,3.49,3.49,3.29,3.29,0.49,4.99,3.99,9.99,9.99,3.99,16.99,5.99,1.89,6.39,5.99,5.79,3.69,5.79,5.99,1.69,2.59,13.49,1.09,1.09,0.99,4.79,2.99,1.29
